passengerid,pclass,survived,sex,age,sibsp,parch,fare,cabin,embarked
1232,3,0,female,29,1,1,10.4625,G6,S
1233,3,1,male,16,0,0,8.05,?,S
1234,3,1,male,44,0,0,7.925,?,S
1235,3,0,male,25,0,0,7.05,?,S
1236,3,0,male,74,0,0,7.775,?,S
1237,3,1,male,14,0,0,9.225,?,S
1238,3,0,male,24,0,0,7.7958,?,S
1239,3,1,male,25,0,0,7.7958,?,S
1240,3,0,male,34,0,0,8.05,?,S
1241,3,1,male,0,0,1,8.5167,?,C
1242,3,0,male,29,1,0,6.4375,?,C
1243,3,0,male,29,0,0,6.4375,?,C
1244,3,0,male,29,0,0,7.225,?,C
1245,3,1,female,16,1,1,8.5167,?,C
1246,3,0,male,29,0,0,8.05,?,S
1247,3,0,male,29,1,0,16.1,?,S
1248,3,1,female,29,1,0,16.1,?,S
1249,3,0,male,32,0,0,7.925,?,S
1250,3,0,male,29,0,0,7.75,F38,Q
1251,3,0,male,29,0,0,7.8958,?,S
1252,3,0,male,30,0,0,8.05,?,S
1253,3,0,male,44,0,0,8.05,?,S
1254,3,0,male,29,0,0,7.2292,?,C
1255,3,1,male,25,0,0,0,?,S
1256,3,0,male,29,0,0,7.2292,?,C
1257,3,1,male,7,1,1,15.2458,?,C
1258,3,1,female,9,1,1,15.2458,?,C
1259,3,1,female,29,0,2,15.2458,?,C
1260,3,0,male,36,0,0,7.8958,?,S
1261,3,1,female,18,0,0,9.8417,?,S
1262,3,1,female,63,0,0,9.5875,?,S
1263,3,0,male,29,1,1,14.5,?,S
1264,3,0,male,11,1,1,14.5,?,S
1265,3,0,male,40,0,2,14.5,?,S
1266,3,0,female,10,0,2,24.15,?,S
1267,3,0,male,36,1,1,24.15,?,S
1268,3,0,female,30,1,1,24.15,?,S
1269,3,0,male,29,0,0,9.5,?,S
1270,3,0,male,33,0,0,9.5,?,S
1271,3,0,male,28,0,0,9.5,?,S
1272,3,0,male,28,0,0,9.5,?,S
1273,3,0,male,47,0,0,9,?,S
1274,3,0,female,18,2,0,18,?,S
1275,3,0,male,31,3,0,18,?,S
1276,3,0,male,16,2,0,18,?,S
1277,3,0,female,31,1,0,18,?,S
1278,3,1,male,22,0,0,7.225,?,C
1279,3,0,male,20,0,0,7.8542,?,S
1280,3,0,female,14,0,0,7.8542,?,S
1281,3,0,male,22,0,0,7.8958,?,S
1282,3,0,male,22,0,0,9,?,S
1283,3,0,male,29,0,0,8.05,?,S
1284,3,0,male,29,0,0,7.55,?,S
1285,3,0,male,29,0,0,8.05,?,S
1286,3,0,male,32,0,0,9.5,?,S
1287,3,1,female,38,0,0,7.2292,?,C
1288,3,0,male,51,0,0,7.75,?,S
1289,3,0,male,18,1,0,6.4958,?,S
1290,3,0,male,21,1,0,6.4958,?,S
1291,3,1,female,47,1,0,7,?,S
1292,3,0,male,29,0,0,8.7125,?,S
1293,3,0,male,29,0,0,7.55,?,S
1294,3,0,male,29,0,0,8.05,?,S
1295,3,0,male,28,0,0,16.1,?,S
1296,3,0,male,21,0,0,7.25,?,S
1297,3,0,male,27,0,0,8.6625,?,S
1298,3,0,male,29,0,0,7.25,?,S
1299,3,0,male,36,0,0,9.5,?,S
1300,3,0,male,27,1,0,14.4542,?,C
1301,3,1,female,15,1,0,14.4542,?,C
1302,3,0,male,45,0,0,7.225,?,C
1303,3,0,male,29,0,0,7.225,?,C
1304,3,0,male,29,0,0,14.4583,?,C
1305,3,0,female,14,1,0,14.4542,?,C
1306,3,0,female,29,1,0,14.4542,?,C
1307,3,0,male,26,0,0,7.225,?,C
1308,3,0,male,27,0,0,7.225,?,C
1309,3,0,male,29,0,0,7.875,?,S
